Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Centered,Davies_Centered_Std,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std
H5M04,MLS-5,RBMS,5,NA,22,1,1,2 SPA/1 ENG,Bilingual,NA,8,2,4,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,0,NA,NA,NA,NA,INF,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,1.4841087881916097,23,0.9951268207819961,-0.543739100111662,0.06132709617497251,10,-0.40985904488075287,NA,0.14261299440846
H5M05,MLS-5,RBMS,5,NA,11,1,0,2 SPA/2 ENG,Bilingual,NA,12,4,3,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,-0.888947557572769,12,-0.9780005439750618,1.2596622485920224,1.6885393813509337,16,1.7651262866197732,NA,-0.9489249243332165
H5M05,MLS-5,RBMS,5,NA,11,1,0,2 SPA/2 ENG,Bilingual,NA,12,4,3,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,INF,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,-0.888947557572769,12,-0.9780005439750618,1.2596622485920224,1.6885393813509337,16,1.7651262866197732,NA,-0.9489249243332165
H5M05,MLS-5,RBMS,5,NA,11,1,0,2 SPA/2 ENG,Bilingual,NA,12,4,3,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND MODAL,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,-0.888947557572769,12,-0.9780005439750618,1.2596622485920224,1.6885393813509337,16,1.7651262866197732,NA,-0.9489249243332165
H5M05,MLS-5,RBMS,5,NA,11,1,0,2 SPA/2 ENG,Bilingual,NA,12,4,3,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,-0.888947557572769,12,-0.9780005439750618,1.2596622485920224,1.6885393813509337,16,1.7651262866197732,NA,-0.9489249243332165
H5M06,MLS-5,RBMS,5,NA,20,2,2,2 SPA/0 ENG,Monolingual,NA,10,3,3,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,0,0,1,NA,NA,SUBJ,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,1.0526439980526319,22,0.8157516058040818,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,1.2341509131501367
H5M06,MLS-5,RBMS,5,NA,20,2,2,2 SPA/0 ENG,Monolingual,NA,10,3,3,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,1.0526439980526319,22,0.8157516058040818,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,1.2341509131501367
H5M06,MLS-5,RBMS,5,NA,20,2,2,2 SPA/0 ENG,Monolingual,NA,10,3,3,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,NA,NA,IND,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,1.0526439980526319,22,0.8157516058040818,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,1.2341509131501367
H5M06,MLS-5,RBMS,5,NA,20,2,2,2 SPA/0 ENG,Monolingual,NA,10,3,3,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,0,0,NA,NA,NA,INF,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,1.0526439980526319,22,0.8157516058040818,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,1.2341509131501367
H5M07,MLS-5,RBMS,5,NA,15,4,2,2 SPA/0 ENG,Monolingual,NA,9,2,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,0,NA,0,NA,NA,INF,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,-0.026017977294813047,19,0.2776259608703387,-0.09288876293574089,0.06132709617497251,11,-0.047361489630665166,NA,1.2341509131501367
H5M07,MLS-5,RBMS,5,NA,15,4,2,2 SPA/0 ENG,Monolingual,NA,9,2,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,-0.026017977294813047,19,0.2776259608703387,-0.09288876293574089,0.06132709617497251,11,-0.047361489630665166,NA,1.2341509131501367
H5M07,MLS-5,RBMS,5,NA,15,4,2,2 SPA/0 ENG,Monolingual,NA,9,2,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,NA,0,NA,NA,INF,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,-0.026017977294813047,19,0.2776259608703387,-0.09288876293574089,0.06132709617497251,11,-0.047361489630665166,NA,1.2341509131501367
H5M07,MLS-5,RBMS,5,NA,15,4,2,2 SPA/0 ENG,Monolingual,NA,9,2,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,0,NA,NA,NA,NA,INF,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,-0.026017977294813047,19,0.2776259608703387,-0.09288876293574089,0.06132709617497251,11,-0.047361489630665166,NA,1.2341509131501367
H5M08,MLS-5,RBMS,5,NA,18,3,2,2 SPA/0 ENG,Monolingual,NA,9,0,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,NA,NA,NA,NA,NA,NA,60260,28864,1318934,NA,NA,-0.7558751292784892,-0.8220498021287957,NA,-0.7889624657036425,0.6211792079136539,21,0.6363763908261674,-0.09288876293574089,-1.5658851890009888,9,-0.7723566001308405,NA,1.2341509131501367
H5M08,MLS-5,RBMS,5,NA,18,3,2,2 SPA/0 ENG,Monolingual,NA,9,0,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,NA,NA,-0.866361216987237,-0.898968476137399,NA,-0.882664846562318,0.6211792079136539,21,0.6363763908261674,-0.09288876293574089,-1.5658851890009888,9,-0.7723566001308405,NA,1.2341509131501367
H5M08,MLS-5,RBMS,5,NA,18,3,2,2 SPA/0 ENG,Monolingual,NA,9,0,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,45606,22466,893704,NA,NA,-0.8179414916676632,-0.8828811589034613,NA,-0.8504113252855623,0.6211792079136539,21,0.6363763908261674,-0.09288876293574089,-1.5658851890009888,9,-0.7723566001308405,NA,1.2341509131501367
H5M08,MLS-5,RBMS,5,NA,18,3,2,2 SPA/0 ENG,Monolingual,NA,9,0,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,0,NA,IND,7583,4193,347240,NA,NA,-0.9789862096370612,-1.056618480307566,NA,-1.0178023449723135,0.6211792079136539,21,0.6363763908261674,-0.09288876293574089,-1.5658851890009888,9,-0.7723566001308405,NA,1.2341509131501367
H5M09,MLS-5,GBCS,5,NA,19,5,0,2 SPA/2 ENG,Bilingual,NA,10,3,NA,0,2,NA,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,NA,NA,1,NA,IND MODAL,16244,9564,NA,NA,NA,-0.9423029310337696,-1.0055517067475899,NA,-0.9739273188906797,0.8369116029831429,24,1.1745020357599105,0.3579615742401802,0.8749332387629531,13,0.6776336208695102,NA,-0.9489249243332165
