Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std
H7M05,MLS-7/8,GBCS,7,NA,12,1,2,2 SPA/0 ENG,Monolingual,NA,13,4,0,0,2,NA,EPT,EPT-26,mirar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,NA,SUBJ,186441,197558,3683993,-0.22144114042709193,0.7818709386879314,NA,0.28021489913041975,-0.33413807182570077,13,-0.43108965624537976,0.7267440955665468,0.9751917324029576,17,0.9746806640213129,NA,0.8731968176245528
H7M05,MLS-7/8,GBCS,7,NA,12,1,2,2 SPA/0 ENG,Monolingual,NA,13,4,0,0,2,NA,EPT,EPT-32,llevar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,NA,SUBJ,418316,301022,13841181,0.7606550639532612,1.7655932733759574,NA,1.2631241686646093,-0.33413807182570077,13,-0.43108965624537976,0.7267440955665468,0.9751917324029576,17,0.9746806640213129,NA,0.8731968176245528
H7M05,MLS-7/8,GBCS,7,NA,12,1,2,2 SPA/0 ENG,Monolingual,NA,13,4,0,0,2,NA,EPT,EPT-34,bajar,Polarity,Polarity subjunctive,Subjunctive,1,1,NA,1,NA,SUBJ,284649,62583,1981927,0.19451445650998933,-0.5014539098054217,NA,-0.1534697266477162,-0.33413807182570077,13,-0.43108965624537976,0.7267440955665468,0.9751917324029576,17,0.9746806640213129,NA,0.8731968176245528
H7M05,MLS-7/8,GBCS,7,NA,12,1,2,2 SPA/0 ENG,Monolingual,NA,13,4,0,0,2,NA,EPT,EPT-38,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,NA,SUBJ,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,-0.33413807182570077,13,-0.43108965624537976,0.7267440955665468,0.9751917324029576,17,0.9746806640213129,NA,0.8731968176245528
H7M05,MLS-7/8,GBCS,7,NA,12,1,2,2 SPA/0 ENG,Monolingual,NA,13,4,0,0,2,NA,EPT,EPT-42,cuidar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,NA,SUBJ,208160,26928,1534607,-0.12945128613949347,-0.8404570398149086,NA,-0.48495416297720106,-0.33413807182570077,13,-0.43108965624537976,0.7267440955665468,0.9751917324029576,17,0.9746806640213129,NA,0.8731968176245528
H7M05,MLS-7/8,GBCS,7,NA,12,1,2,2 SPA/0 ENG,Monolingual,NA,13,4,0,0,2,NA,EPT,EPT-44,entrar,Polarity,Polarity subjunctive,Subjunctive,0,0,NA,1,NA,IND,207551,129316,4429528,-0.13203067843477168,0.13303482599385175,NA,5.020737795400354e-4,-0.33413807182570077,13,-0.43108965624537976,0.7267440955665468,0.9751917324029576,17,0.9746806640213129,NA,0.8731968176245528
H8M03,MLS-7/8,RBMS,8,NA,7,0,2,2 SPA/0 ENG,Monolingual,NA,8,4,5,0,2,NA,EPT,EPT-02,llamar,Intensional,Intensional subjunctive,Subjunctive,0,0,0,1,NA,IND,303936,207733,8248273,0.2762036834377904,0.8786135231177878,NA,0.5774086032777891,-1.5736825318242682,7,-1.6208971074826266,-1.416219263155325,0.9751917324029576,12,-0.5821009521238389,NA,0.8731968176245528
H8M03,MLS-7/8,RBMS,8,NA,7,0,2,2 SPA/0 ENG,Monolingual,NA,8,4,5,0,2,NA,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,0,0,0,1,NA,IND,6151,3173,91504,-0.9850513816679927,-1.0663165084273154,NA,-1.025683945047654,-1.5736825318242682,7,-1.6208971074826266,-1.416219263155325,0.9751917324029576,12,-0.5821009521238389,NA,0.8731968176245528
H8M03,MLS-7/8,RBMS,8,NA,7,0,2,2 SPA/0 ENG,Monolingual,NA,8,4,5,0,2,NA,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,1,1,NA,1,NA,SUBJ,27224,5128,182321,-0.8957976315228404,-1.047728621197795,NA,-0.9717631263603177,-1.5736825318242682,7,-1.6208971074826266,-1.416219263155325,0.9751917324029576,12,-0.5821009521238389,NA,0.8731968176245528
H8M03,MLS-7/8,RBMS,8,NA,7,0,2,2 SPA/0 ENG,Monolingual,NA,8,4,5,0,2,NA,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,0,0,0,NA,NA,INF,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,-1.5736825318242682,7,-1.6208971074826266,-1.416219263155325,0.9751917324029576,12,-0.5821009521238389,NA,0.8731968176245528
