Part_ID,Age,Origin
SDB01,30,Spain
SDB02,26,Spain
SDB03,42,Chile
SDB04,31,Peru
SDB05,42,
SDB06,40,Colombia
SDB07,24,Dominican Republic
SDB09,26,Spain
SDB10,23,Spain
SDB12,34,Mexico
SDB13,55,Puerto Rico
SDB14,21,Argentina
SDB15,31,Argentina
SDB16,26,Spain
SDB17,53,Venezuela
SDB18,45,Dominican Republic
SDB19,30,Colombia
SDB20,27,Colombia
