Verb,Davies_freq,Davies_freq_centered,Davies_freq_std
amar,60260,-67512.125,-0.6011465511356104
cuidar,26928,-100844.125,-0.8979438574335854
llamar,207733,79960.875,0.7119936490228335
llevar,301032,173259.875,1.5427536358311487
mirar,197558,69785.875,0.6213926472353051
peinar,3173,-124599.125,-1.1094649186092842
pintar,22466,-105306.125,-0.9376747340896986
tratar,203027,75254.875,0.6700901291788915
