Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Centered,Davies_Centered_Std,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std,Response
H7B03,DLBE-7/8,GBCS,7,7/8,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,Selection,FCT-32,cuidar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,208160,26928,1534607,-100844.1,-0.897943857,0.01841624678734838,-0.8005284996483579,NA,-0.39105612643050475,-1.7177043571522057,9,-1.669408943143084,-1.7788813135909884,-0.9682233241804792,9,-1.9084181895092471,NA,0.00925165634963896,1
H7B03,DLBE-7/8,GBCS,7,7/8,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,Selection,FCT-40,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,45606,22466,893704,-105306.125,-0.937674734,-0.9171998985793148,-0.8433881203683105,NA,-0.8802940094738126,-1.7177043571522057,9,-1.669408943143084,-1.7788813135909884,-0.9682233241804792,9,-1.9084181895092471,NA,0.00925165634963896,1
H7B03,DLBE-7/8,GBCS,7,7/8,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,Selection,FCT-45,tratar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,590952,203027,9516595,75254.875,0.6700901291788915,2.2216617868367825,0.8909856978332489,NA,1.5563237423350156,-1.7177043571522057,9,-1.669408943143084,-1.7788813135909884,-0.9682233241804792,9,-1.9084181895092471,NA,0.00925165634963896,1
H7B03,DLBE-7/8,GBCS,7,7/8,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,Selection,FCT-54,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,60260,28864,1318934,-67512.125,-0.601146551,-0.832855502291293,-0.7819323038362045,NA,-0.8073939030637487,-1.7177043571522057,9,-1.669408943143084,-1.7788813135909884,-0.9682233241804792,9,-1.9084181895092471,NA,0.00925165634963896,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-02,mirar,Intensional,Intensional subjunctive,Subjunctive,0,0,NA,NA,NA,NA,186441,197558,3683993,69785.875,0.6213926472353051,-0.10659234765645834,0.8384533657585245,NA,0.3659305090510331,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,0
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-10,llevar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,418316,301022,13841181,173259.875,1.5427536358311489,1.2280164205491535,1.8322740287278596,NA,1.5301452246385066,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-17,peinar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,6151,3173,91504,-124599.125,-1.109464919,-1.1442920342108076,-1.0287065117959315,NA,-1.0864992730033696,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-25,llamar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,303936,207733,8248273,79960.875,0.7119936490228335,0.5696765783610872,0.9361890539758077,NA,0.7529328161684474,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-32,cuidar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,208160,26928,1534607,-100844.1,-0.897943857,0.01841624678734838,-0.8005284996483579,NA,-0.39105612643050475,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-40,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,45606,22466,893704,-105306.125,-0.937674734,-0.9171998985793148,-0.8433881203683105,NA,-0.8802940094738126,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-45,tratar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,590952,203027,9516595,75254.875,0.6700901291788915,2.2216617868367825,0.8909856978332489,NA,1.5563237423350156,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B01,DLBE-7/8,GBCS,8,7/8,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,Selection,FCT-54,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,60260,28864,1318934,-67512.125,-0.601146551,-0.832855502291293,-0.7819323038362045,NA,-0.8073939030637487,0.756607871602756,22,0.7178458455515254,0.9514946561068072,-1.633876859554558,14,-0.1293842840345257,NA,-1.1610828718797792,1
H8B02,DLBE-7/8,GBCS,8,7/8,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,Selection,FCT-02,mirar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,186441,197558,3683993,69785.875,0.6213926472353051,-0.10659234765645834,0.8384533657585245,NA,0.3659305090510331,-1.2678294064694853,11,-1.3021389756516055,0.49643199449050784,1.0287372819417575,17,0.9380360592503072,NA,0.00925165634963896,1
H8B02,DLBE-7/8,GBCS,8,7/8,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,Selection,FCT-10,llevar,Intensional,Intensional subjunctive,Subjunctive,0,0,NA,NA,NA,NA,418316,301022,13841181,173259.875,1.5427536358311489,1.2280164205491535,1.8322740287278596,NA,1.5301452246385066,-1.2678294064694853,11,-1.3021389756516055,0.49643199449050784,1.0287372819417575,17,0.9380360592503072,NA,0.00925165634963896,0
H8B02,DLBE-7/8,GBCS,8,7/8,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,Selection,FCT-17,peinar,Intensional,Intensional subjunctive,Subjunctive,0,0,NA,NA,NA,NA,6151,3173,91504,-124599.125,-1.109464919,-1.1442920342108076,-1.0287065117959315,NA,-1.0864992730033696,-1.2678294064694853,11,-1.3021389756516055,0.49643199449050784,1.0287372819417575,17,0.9380360592503072,NA,0.00925165634963896,0
H8B02,DLBE-7/8,GBCS,8,7/8,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,Selection,FCT-25,llamar,Intensional,Intensional subjunctive,Subjunctive,1,1,NA,NA,NA,NA,303936,207733,8248273,79960.875,0.7119936490228335,0.5696765783610872,0.9361890539758077,NA,0.7529328161684474,-1.2678294064694853,11,-1.3021389756516055,0.49643199449050784,1.0287372819417575,17,0.9380360592503072,NA,0.00925165634963896,1
H8B02,DLBE-7/8,GBCS,8,7/8,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,Selection,FCT-32,cuidar,Intensional,Intensional subjunctive,Subjunctive,0,0,NA,NA,NA,NA,208160,26928,1534607,-100844.1,-0.897943857,0.01841624678734838,-0.8005284996483579,NA,-0.39105612643050475,-1.2678294064694853,11,-1.3021389756516055,0.49643199449050784,1.0287372819417575,17,0.9380360592503072,NA,0.00925165634963896,0
H8B02,DLBE-7/8,GBCS,8,7/8,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,Selection,FCT-40,pintar,Intensional,Intensional subjunctive,Subjunctive,0,0,NA,NA,NA,NA,45606,22466,893704,-105306.125,-0.937674734,-0.9171998985793148,-0.8433881203683105,NA,-0.8802940094738126,-1.2678294064694853,11,-1.3021389756516055,0.49643199449050784,1.0287372819417575,17,0.9380360592503072,NA,0.00925165634963896,0
